id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
588318,Bělov,257,174,174,51,0,0,0,0,20,9,0,25,4,0,0,0,0,0,14,0,2,1,20,6,14,8,0
585076,Biskupice,564,314,314,102,0,0,0,2,34,38,0,17,2,6,0,0,0,1,15,4,15,2,42,1,16,16,1
557102,Bohuslavice nad Vláří,315,201,201,65,1,0,1,3,13,22,0,19,0,3,1,0,0,0,8,1,1,2,18,2,16,24,1
585092,Bohuslavice u Zlína,637,399,397,125,0,0,0,0,24,40,0,32,1,5,0,0,2,3,36,7,5,6,54,8,21,28,0
585106,Bratřejov,640,422,419,97,0,0,1,1,35,76,0,20,1,5,0,0,0,0,29,4,3,7,55,4,35,34,12
585114,Brumov-Bylnice,4 531,2 599,2 582,765,2,1,0,4,159,495,1,158,23,12,1,1,2,3,159,10,41,19,282,38,160,239,7
538744,Březnice,1 032,687,681,212,0,2,0,1,33,70,0,82,0,4,0,1,0,0,49,6,23,4,91,22,45,36,0
585131,Březová,375,262,261,71,0,0,0,0,24,44,0,18,0,4,0,0,1,0,16,4,1,3,33,4,23,14,1
585149,Březůvky,567,359,356,102,0,0,0,0,19,41,0,23,0,3,0,2,2,0,16,2,4,3,74,8,36,18,3
585157,Dešná,165,103,103,32,0,0,0,0,7,19,0,2,1,0,0,0,0,0,16,0,5,0,10,1,4,6,0
585165,Dobrkovice,215,143,143,38,0,0,0,0,7,29,0,11,1,5,0,0,0,1,4,0,3,0,20,0,3,20,1
585173,Dolní Lhota,504,354,353,84,2,0,0,1,15,125,0,21,2,2,0,0,0,3,20,4,1,2,27,3,23,17,1
585181,Doubravy,436,271,270,77,0,0,0,0,10,15,1,38,0,0,0,0,0,0,26,2,0,5,43,10,22,19,2
585190,Drnovice,329,217,216,51,0,0,0,0,6,73,0,5,2,5,0,0,0,0,24,0,0,2,13,5,15,15,0
585203,Držková,299,194,194,72,0,0,0,0,10,22,0,14,0,1,1,1,0,0,13,0,1,0,27,3,13,15,1
585211,Fryšták,3 037,1 972,1 952,536,1,0,0,0,80,259,3,267,5,8,0,0,3,3,101,15,46,28,260,76,125,133,3
585220,Halenkovice,1 502,887,886,316,1,1,0,1,97,61,2,49,4,5,3,2,0,2,51,5,10,9,124,21,70,47,5
585238,Haluzice,70,46,46,13,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,12,1,3,5,0
585246,Horní Lhota,457,315,315,68,0,0,1,0,23,65,0,35,0,2,0,0,1,0,20,0,1,2,24,19,33,21,0
